address,balance,label,total_tx,mean,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0xaead010e6b8355537f4453e980204b067d208548,22.164650479214707,central_asia,160,58.177543164670986,0,0,0,1,3,12,13,18,11,5,9,8,2,6,5,3,1,7,13,17,14,5,6,1
0xc794166192ffa9b8d0d2b3a74268b256b1be0f2b,263.5154270607021,western_asia,98,155.56989861837292,9,14,9,4,4,1,2,0,0,1,5,5,3,1,4,5,2,5,4,4,1,6,1,8
0xd1330b70f10b23d5c94cc7069213f3ef05e247dc,33.36446118243652,europe,228,82.15104427822251,8,6,0,0,0,4,7,3,21,28,16,13,19,11,16,4,7,8,14,10,9,5,6,13
0xd84e1da8221eb16d1f56c720e006f98e3fde617b,136.71767136995572,europe,35,52.77278614558594,0,3,0,0,0,0,0,3,3,4,4,2,1,1,3,0,2,0,1,0,0,1,2,5
0x52ae07c317424c62f04453918045a82ec8cc34e1,13.434155375389441,southeast_asia,184,136.29707888183947,1,10,8,25,10,9,14,23,13,23,12,14,8,1,4,3,0,2,0,2,0,0,0,2
0x5d6eea3118ed0beab2fd754343d1ee368cbec450,545.015534128659,europe,305,65.12121748491761,4,1,0,0,2,13,37,36,22,26,23,15,9,4,2,5,8,12,4,11,14,29,15,13
0x28cd5e66ca99623ca4f7a2d66d3e8788a4287f63,1.07250048679348,europe,236,31.003253253317254,0,2,1,2,10,8,8,15,11,19,29,18,15,15,10,5,9,5,9,11,16,13,5,0
0x38bd177e474d448ee657b3f7da29fb6e8793b783,37.615528424302795,europe,409,100.55904553998917,6,1,0,4,2,8,19,44,26,54,39,34,20,20,19,11,15,16,16,11,21,18,4,1
0x8a8c879d39a74fce0593714956bb7ed048a5c1bf,2892.3257617694762,south_america,362,73.68421407714148,28,12,4,0,0,1,5,12,33,12,31,33,20,7,14,9,6,6,7,8,21,28,17,48
0x654679f809d7cbfe7019a29d4446f779e5fb5000,97.59401744633777,europe,464,73.8276255857763,4,0,1,0,0,2,3,10,22,31,33,14,29,28,20,23,8,11,48,51,47,49,18,12
0x88fd6bff39eaeec619bb1de6c6a919dd48045140,53.444625717825325,europe,252,46.55353202449871,5,0,0,0,0,3,3,7,16,16,14,4,11,12,9,9,12,8,12,33,26,31,15,6
0xab1128cc21bc151206c38a6674e8c921e1b4e237,38.629266550077,europe,34,155.16332127720568,1,0,0,0,0,0,0,0,1,3,1,0,1,1,2,1,2,2,4,1,2,3,9,0
0xcd83c5970f8b92142ef6db1ccadac68f01df1c44,33.92505538631101,europe,59,30.87492521999986,0,0,0,0,7,6,5,3,0,13,9,3,0,0,0,1,0,0,1,0,1,4,2,4
0xafb19478648ac2a848a0bad8923cce943f84e95f,7.225190853881207,europe,28,5.624433476796852,0,1,6,0,2,1,0,1,1,0,1,1,2,0,2,1,1,2,2,0,4,0,0,0
0xb5bccfa10d50790ca1c4988b7f8eae81235f000c,123.23758985462966,europe,29,16.43618995244035,3,0,0,1,0,1,0,0,3,5,1,2,1,1,0,3,0,1,0,0,0,1,4,2
0x7526f7cb04e1320fbf5f13fff6edf9b6a40d8123,23.167191271592877,europe,158,57.954743859195986,14,11,9,6,5,2,0,5,6,1,0,6,0,4,5,9,3,7,8,5,14,14,9,15
0x8fd4f55a3a3f8f3cf461bd4a6a3ffee937fbf75c,507.18763889359354,europe,447,99.67215653444627,52,27,24,17,15,9,3,6,2,10,5,20,21,17,17,17,11,6,14,23,19,46,37,29
0xcd98aa3437f953259e6983ebb8fe47b5f50317b4,1188.6247792811332,europe,732,153.20743240730064,13,0,1,0,0,6,45,17,43,40,63,111,66,56,46,34,34,20,12,25,22,45,18,15
0xdc0bd0523ba5de706a259eceaa597e03c7b28371,510.383806182791,europe,142,62.41174125660328,5,9,20,1,0,0,0,0,1,9,1,9,12,7,10,11,2,6,6,8,15,4,3,3
0x84b81987f6ca3cde2a50daca42a58a132099c731,663496.754833615,europe,448,42.67116830725824,21,7,6,2,15,13,13,14,12,12,34,25,21,18,14,23,21,28,17,20,17,29,37,29
0xfed08d20db1faa02edb7a70ef3014c958bba2a62,13.838995435990196,europe,55,6.326189471574978,1,1,0,1,0,0,0,4,5,12,6,3,3,3,2,0,1,2,1,0,1,1,8,0
0x8faad9fc1b75c7d85ee44d1278271d0dfc78e46c,2.9026256288430674,europe,256,58.382933858891484,2,2,3,3,4,1,3,9,7,11,8,19,13,27,17,23,11,19,20,24,9,17,3,1
0x7ca4926b101a71eb6eae564534d9eda2278b4bd9,924.6952281463665,europe,854,167.8977899612092,1,2,0,0,7,18,88,119,95,60,46,41,35,30,22,53,19,120,24,40,20,12,2,0
0xc99377f69efe434914ca5a43d8c5fd02ee1aba68,96.970587584313,europe,95,1655.1618035544673,2,1,0,0,6,7,4,1,8,4,6,17,15,6,0,3,2,4,1,1,2,2,2,1
0xbf77b8a74db0844032cffb3eeb487fc500765c4e,65.36984232525252,europe,191,163.98112888601108,0,0,0,3,11,28,22,14,8,6,6,16,9,1,6,2,10,9,15,11,6,6,2,0
